Timestamp,uv_1,uv_3,cond,conc_b,ph
2025-03-06 02:35:40,25.9720735,0.0,91.206778,0.0,0.0
2025-03-06 02:35:41,106.23053,0.0,91.20255,0.0,0.0
2025-03-06 02:35:42,107.2467,0.0,91.19857,0.0,0.0
2025-03-06 02:35:43,107.80845,0.0,91.19595,0.0,0.0
2025-03-06 02:35:44,108.44501249999999,0.0,91.19165699999999,0.0,13.268158
2025-03-06 02:35:45,108.906204,0.0,91.18434,0.0,0.0
2025-03-06 02:35:46,109.08379,0.0,91.1806,0.0,0.0
2025-03-06 02:35:47,109.05347,0.0,91.17708,0.0,0.0
2025-03-06 02:35:48,54.16501595,0.0,92.317415,0.0,0.0
2025-03-06 02:35:49,1.6776755,0.0,93.47844,0.0,0.0
2025-03-06 02:35:50,1.6768545,0.0,93.49133,0.0,0.0
2025-03-06 02:35:51,1.6917393,0.0,93.50867,0.0,0.0
2025-03-06 02:35:52,16.63596125,0.0,93.46021999999999,0.0,0.0
2025-03-06 02:35:53,63.2103,0.0,93.35893,0.0,0.0
2025-03-06 02:35:54,77.60825,0.0,92.79695,0.0,0.0
2025-03-06 02:35:55,86.9202,0.0,92.0549,0.0,0.0
2025-03-06 02:35:56,87.123452,0.0,91.403028,0.0,0.0
2025-03-06 02:35:57,78.13122,0.0,91.09926,0.0,0.0
2025-03-06 02:35:58,79.19714,0.0,90.99292,0.0,0.0
2025-03-06 02:35:59,82.80711,0.0,90.90401,0.0,0.0
2025-03-06 02:36:00,79.842997,0.0,90.81424000000001,0.0,0.0
2025-03-06 02:36:01,80.748215,0.0,90.75375,0.0,0.0
2025-03-06 02:36:02,83.30508,0.0,90.72482,0.0,0.0
2025-03-06 02:36:03,87.73046,0.0,90.715485,0.0,0.0
2025-03-06 02:36:04,102.035335,0.0,90.7184025,0.0,0.0
2025-03-06 02:36:05,113.618965,0.0,90.70505,0.0,0.0
2025-03-06 02:36:06,109.54594,0.0,90.644196,0.0,0.0
2025-03-06 02:36:07,100.32943,0.0,90.58667,0.0,0.0
2025-03-06 02:36:08,93.51876999999999,0.0,90.5954055,0.0,0.0
2025-03-06 02:36:09,86.980156,0.0,90.64765,0.0,0.0
2025-03-06 02:36:10,87.52498,0.0,90.67503,0.0,0.0
2025-03-06 02:36:11,91.690605,0.0,90.687294,0.0,0.0
2025-03-06 02:36:12,97.70774,0.0,90.68576999999999,0.0,0.0
2025-03-06 02:36:13,98.76256,0.0,90.677826,0.0,0.0
2025-03-06 02:36:14,99.0937,0.0,90.67723,0.0,0.0
2025-03-06 02:36:15,99.43562,0.0,90.68022,0.0,0.0
2025-03-06 02:36:16,100.0157375,0.0,90.686225,0.0,0.0
2025-03-06 02:36:17,100.25005,0.0,90.69671,0.0,0.0
