,label,start_time,start_ml,end_time,end_ml
0,Equilibration,2025-06-11T01:40:43+00:00,-9.650019300000016,2025-06-11T01:50:24+00:00,0.0
1,Sample Application,2025-06-11T01:50:24+00:00,0.0,2025-06-11T02:22:34+00:00,32.03339739999906
2,Column Wash,2025-06-11T02:22:34+00:00,32.03339739999906,2025-06-11T02:32:13+00:00,41.68883334199825
3,Elution,2025-06-11T02:32:13+00:00,41.68883334199825,2025-06-11T03:03:07+00:00,72.58889512199919
4,Column Wash,2025-06-11T03:03:07+00:00,72.58889512199919,2025-06-11T03:07:57+00:00,77.40557142199971
5,Column CIP,2025-06-11T03:07:57+00:00,77.40557142199971,2025-06-11T03:23:08+00:00,92.55560172200136
6,Water Wash,2025-06-11T03:23:08+00:00,92.55560172200136,2025-06-11T03:27:59+00:00,97.37219467966854
7,Equilibration,2025-06-11T03:27:59+00:00,97.37219467966854,2025-06-11T03:32:49+00:00,102.15553757966906
8,Storage,2025-06-11T03:32:49+00:00,102.15553757966906,2025-06-11T03:42:30+00:00,111.7888901796701
